"id","name","code","lot_stock_id/id","partner_id/id",view_location_id/id
"init.warehouse0","Pharmacy","PHARM","init.6299466b-05bb-4cba-9acb-ba9b6d8020fd","base.main_partner",init.5bd7018a-a2b8-4f06-a2b6-d8d6d80abfb5
"init.warehouse2","Warehouse","WAREH","init.f495f2ed-032d-459b-81d6-f3258cd931c5","base.main_partner",init.c9f90afd-0127-4e50-b408-53d845f0411a
