id,category_id/id,factor,rounding,uom_type,name
init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Ampoule(s)
init.0ace7699-f997-42fd-8e2e-1415d5a07c3b,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Application(s)
init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Gelule(s)
init.144dd787-a13f-437d-b6c7-9a7d4cf3bc56,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Dose(s)
init.2d735487-2f66-412c-a615-2873ddf94dfd,uom.product_uom_categ_unit,20000,0.01,Smaller than the reference Unit of Measure,Goutte(s)
init.8574ffb1-222d-4a11-97c9-7e401c59e2b1,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,IU
init.e6727dc7-967d-4bf6-9caf-af8a4997a62d,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Paquet(s)
init.5fa6126f-dc1a-42d4-bfda-b3b9e2cd3b90,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Bouffee(s)
init.6fa802c9-5ad8-4e0b-9b8b-d80e4d91b21d,uom.product_uom_categ_unit,67.628,0.01,Smaller than the reference Unit of Measure,Cuillere(s) a soupe
init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Comprime(s)
init.e946eb88-c6ce-481a-8f76-a979f684fada,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Ovule(s)
init.89a91a0c-35d4-45b9-a87d-dac77df05c81,uom.product_uom_categ_unit,202.884,0.01,Smaller than the reference Unit of Measure,Cuillere(s) a cafe
init.5de903e6-2a66-4253-891d-86558e1282d2,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Fiole(s)
init.d34c85d0-f1c5-44d1-bfe3-d19d5ec875b1,uom.product_uom_categ_unit,1000000,0.01,Smaller than the reference Unit of Measure,mg
init.22109614-7512-4739-b28a-783354d19aa1,uom.product_uom_categ_unit,1000,0.01,Smaller than the reference Unit of Measure,ml
init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Bouteille(s)
init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Tube(s)
init.1957f9ad-2d7c-4bc3-ac8e-527849c7bd98,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Inhalateur(s)
init.d8e77a4d-0224-413e-adac-0ecf66eb50ce,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Conteneur(s)
init.50d348c0-9290-4339-ad55-9a752ad65b1e,uom.product_uom_categ_unit,0.1,0.01,Bigger than the reference Unit of Measure,Paquet de 10
init.beabdc93-f6ad-4f7b-8d90-49766f95277d,uom.product_uom_categ_unit,0.07142857143,0.01,Bigger than the reference Unit of Measure,Paquet de 14
init.2f83d39c-ac95-4b05-915f-5715a8992477,uom.product_uom_categ_unit,0.06666666667,0.01,Bigger than the reference Unit of Measure,Paquet de 15
init.e047c792-e62d-4402-8cad-756a02d140cd,uom.product_uom_categ_unit,0.5,0.01,Bigger than the reference Unit of Measure,Paquet de 2
init.c509eecb-1566-4cd0-8a5e-524c95be94ec,uom.product_uom_categ_unit,0.05,0.01,Bigger than the reference Unit of Measure,Paquet de 20
init.488fe969-ef43-4697-af25-048ac478f636,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Paquet de 20g
init.5e65bae4-3356-4fb1-b3b8-c04b7bd40dbc,uom.product_uom_categ_unit,0.03571428571,0.01,Bigger than the reference Unit of Measure,Paquet de 28
init.f4ef97de-7f88-48aa-bb23-9d7dec44cc53,uom.product_uom_categ_unit,0.3333333333,0.01,Bigger than the reference Unit of Measure,Paquet de 3
init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,uom.product_uom_categ_unit,0.03333333333,0.01,Bigger than the reference Unit of Measure,Paquet de 30
init.ecbf0c21-567f-4485-911d-24dd2a39f665,uom.product_uom_categ_unit,0.1428571429,0.01,Bigger than the reference Unit of Measure,Paquet de 7
init.07c1dffa-04d5-43c5-a140-c50a50f34929,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Boite
init.7af90e2b-eb9f-4ddd-b4f0-2179f8431abc,uom.product_uom_categ_unit,0.1,0.01,Bigger than the reference Unit of Measure,Boite de 10
init.4801928b-f31a-4341-bdf2-c982ecb649f0,uom.product_uom_categ_unit,0.01,0.01,Bigger than the reference Unit of Measure,Boite de 100
init.b7c152ea-3412-40d3-8973-724d9e9ef77b,uom.product_uom_categ_unit,0.001,0.01,Bigger than the reference Unit of Measure,Boite de 1000
init.30e96e02-18ba-45b7-99a6-9f898c3934a0,uom.product_uom_categ_unit,0.08333333333,0.01,Bigger than the reference Unit of Measure,Boite de 12
init.eb85991b-0e68-42bc-b192-8711546e48f6,uom.product_uom_categ_unit,0.05,0.01,Bigger than the reference Unit of Measure,Boite de 20
init.7109f2c6-5302-4952-b1bd-6e12f7e1626b,uom.product_uom_categ_unit,0.04166666667,0.01,Bigger than the reference Unit of Measure,Boite de 24
init.d5c0ef0b-98d9-412f-967e-e1150db9c796,uom.product_uom_categ_unit,0.03333333333,0.01,Bigger than the reference Unit of Measure,Boite de 30
